,Rank,Cafe,Menu,URL
0,1,Coalfire,Artisanal pizza heaven,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Coalfire/
1,2,Macello,Colorful trattoria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Macello/
2,3,Piece,Brewpub and pizzeria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Piece/
3,4,Santullo’s Eatery,Drab storefront,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Santullos-Eatery/
4,5,Boiler Room,Industrial-chic bar,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Boiler-Room/
5,6,Vito & Nick’s,Throwback storefront,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Vito-Nicks/
6,7,Big Chef Burgers,Spiffy café,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Big-Chef-Burgers/
7,8,Pizzeria da Nella,Low-key pizzeria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizzeria-da-Nella/
8,9,Bartoli’s,Bare-bones storefront,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Bartolis/
9,10,Tocco,Two-and-a-half-star Italian restaurant,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Tocco/
10,11,Balena,Three-star Italian restaurant,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Balena/
11,12,Elio Pizza on Fire,Strip-mall pizzeria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Elio-Pizza-on-Fire/
12,13,Eataly,Italian superstore,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Eataly/
13,14,Dante’s Pizzeria,Scruffy joint,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Dantes-Pizzeria/
14,15,Pizzeria Uno,The pizzeria that spawned an empire,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizzeria-Uno/
15,16,Lou Malnati’s,Local chain,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Lou-Malnatis/
16,17,Union,Suburban loft,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Union/
17,18,Sono Wood Fired,Smart storefront,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Sono-Wood-Fired/
18,19,Pizano’s,Local chain,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizanos/
19,20,Pizza East,Soho House’s pizzeria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pizza-East/
20,21,Fiammé Pizzeria Napoletana,Suburban hot spot,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Fiamme-Pizzeria-Napoletana/
21,22,Jimmy’s Pizza Cafe,Stark corner storefront,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Jimmys-Pizza-Cafe/
22,23,Nellcôte,Sceney restaurant,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Nellcote/
23,24,Parlor Pizza Bar,Enormous tavern,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Parlor-Pizza-Bar/
24,25,The Local Pizzeria,Earnest BYO,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/The-Local-Pizzeria/
25,26,Pi-Hi Café,Strip-mall eatery,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Pi-Hi-Cafe/
26,27,Spacca Napoli,Rustic pizzeria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Spacca-Napoli/
27,28,Reno,Sunny hangout,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Reno/
28,29,Davanti Enoteca,Polished charmer,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Davanti-Enoteca/
29,30,Roots,Family-friendly sports bar,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Roots/
30,31,Osteria La Madia,Cozy-chic spot,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Osteria-La-Madia/
31,32,Nueva Italy Pizzeria,Spare storefront,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Nueva-Italy-Pizzeria/
32,33,Home Run Inn,Old-school legend,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Home-Run-Inn/
33,34,Bongiorno,No-frills pizzeria,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Bongiorno/
34,35,Bar Siena,Splashy tavern,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Bar-Siena/
35,36,Borelli’s Pizza,Rug-rat heaven,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Borellis-Pizza/
36,37,Louisa’s Pizza & Pasta,Roadhouse,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Louisas-Pizza-and-Pasta/
37,38,Marie’s Pizza & Liquors,Vintage corner tap,http://www.chicagomag.com/Chicago-Magazine/November-2015/Best-Pizza/Maries-Pizza-and-Liquors/
